Asset,Work Order,Description Line 1,Description Line 2
232  -232 - Access 4 BdRm,"WO- 1,709","Drain drip leg, replace parts if necessary", Removed the drip leg and drained the drip leg  Re-installed the drip leg on the fuel tank
233  -233 - Built 2003-Duplex,"WO- 2,321",No heat and hot water.,emailed
233  -233 - Built 2003-Duplex,"WO- 2,527",Strong fuel smell in unit.," More fumes from door being opened, smell coming from outside."
233  -233 - Built 2003-Duplex,"WO- 2,674",Tenant smells fuel.," Went to mechanical room and checked for leaks, checked boiler, checked all around fuel tank, no smell of fuel."
234  -234 - Built 2003 - Duplex,WO- 83,Too hot in unit.," Turned down thermostat next door to satisfy tenant, nothing was wrong."
234  -234 - Built 2003 - Duplex,WO- 798,Too hot in unit.," Checked heating system, all normal."
234  -234 - Built 2003 - Duplex,"WO- 2,042",No heat in unit., Boiler was low on glycol. Added glycol to boiler
234  -234 - Built 2003 - Duplex,"WO- 2,086",NO heat in unit.," Checked out boiler room, all was good. Did not have to do anything as all lines were hot"
294M  -23 Tuktu-Mechanical,"WO- 1,687","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel tank, drained the drip leg and reinstalled it on the fuel tank."
271M  -27 Tatkik-Mechanical,"WO- 1,686","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drained the drip leg.  Re-installed the drip leg on the fuel tank
292M  -40 Kalaak-Mechanical,"WO- 1,656","Drain drip leg, replace parts if necessary", Removed and drained the drip leg from the fuel tank  Re-installed the drip leg
293M  -Year Build 2001- Duplex,"WO- 1,657","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drained the drip leg  Re-installed the drip leg on the fuel tank
239  -239 - 8C KOIHOK MAGHAGAK ST.,"WO- 1,554",Heat won't shut off., Replaced faulty zone valve and thermostat and tested.
SH-410-A0008  -Multiplex Kalaak 53D,"WO- 1,855",Please have someone go and check the heating issue.  Too hot in unit.," Trace Power from Transformers to Thernostat, found normally open zone valve freezed. Replaced Zone Valve for Temporary Heat"
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 1,012",No heat in unit.,
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 1,037",Glycol leak in crawlspace.,
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 1,357",Service call no heat in 2A (after hours)," Cirulator pump stuck, glycol needs to be changed causing the circulator to stick."
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 1,995",No heat.," Went to mech. room, both circulator pumps were not working. Opened both manually and they started turning, waited for boilers to reach set point and shut off"
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 2,069",No heat., Glycol was not flowing so adjusted power heads and it started flowing again
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 2,660",No heat in unit.," Checked and filled up glycol makeup tank, pressurized boilrs to 15psi and tested."
SH-410-A0012  -Multiplex Koihok Maghagak Cres 2A,"WO- 3,002",No heat.,Air lock
SH-410-A0014  -Multiplex Koihok-Maghagak Cres 2C,WO- 111,No heat and not hot water., Released all air from vents in mechical room.
SH-410-A0014  -Multiplex Koihok-Maghagak Cres 2C,"WO- 1,363",No heat.," Circulator pump stuck, ffreed it up temporary fix, it needs to be changed and gycol changed. Changed circulator pump cbha has no glcol will do later, when troy get some, checked system."
SH-410-A0015  -Multiplex Koihok-Maghagak Cres 2M,WO- 5,Check second boiler.," Replaced motor on boiler 2 but still inoperable, replaced burners on both boilers and tested."
SH-410-A0015  -Multiplex Koihok-Maghagak Cres 2M,WO- 196,No heat.,
"SH-410-A0038  -Mechanical Room, Nurses Residence",WO- 614,"Shut off Fire Alarm in mechanical room, also turn down heat in hallway.", Turned down heat for hallways.  Fire alarm sent to Inukshuk.
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO- 2,279",No heat.," Checked unit, zone valve for livingroom wasn't flowing, spun zone valve and heat started pushing through."
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO- 2,403",No heat., Airlocked.
"SH-410-A0038  -Mechanical Room, Nurses Residence","WO- 2,605",No heat in appartments.," Checked fuel tank, tank was full of fuel, checked boiler temperature and pressure, turned up high limit on controls, went into two units to check for heat, turned up thermostat in hallway."
SH-410-A0039  -Doctor's Res,"WO- 2,984",Strong fuel smell.," Removed gun assembly on burner, nozzle was plugged, replaced nozzle and tested with thermostat, checked air filter, air filter was ok, went on top of roof to clear ice off chimney."
SH-410-A0042  -Multiplex Pungnik 1C,WO- 452,Heat is very hot. Would like the heat turned down.,
SH-410-A0050  -Multiplex Tatkik 1B,"WO- 1,376",Check heating and plumbing in unit.,
SH-410-A0056  -Multiplex Tatkik 26C,WO- 72,Too hot in unit., Replaced zone valve.
SH-410-A0056  -Multiplex Tatkik 26C,WO- 895,No heat.,"had to replace zone valve and hook up glycol pump to push glycol thru system was severely air locked, had to get heat on har coil working."
SH-410-A0057  -Multiplex Tatkik 26D,"WO- 1,478",No heat.,
SH-410-A0057  -Multiplex Tatkik 26D,"WO- 1,557",No heat call.," Turned out old aquastat was not working properly, checked all zones, replaced tsat and turned on coil to hrv unit."
SH-410-A0057  -Multiplex Tatkik 26D,"WO- 1,562",No heat call., Heating was air locked.
SH-410-A0058  -Multiplex Tatkik 26E,"WO- 2,630",Not getting enough heat.," Checked both boilers, pressure and temperature were good, went into unit and tenant say heat is good."
SH-410-A0058  -Multiplex Tatkik 26E,"WO- 2,670",Hardly any heat.," Checked heating, increased boiler temperature to 140* and checked for heat."
SH-410-A0058  -Multiplex Tatkik 26E,"WO- 2,701",Replace zone valve., Replaced faulty zone valve.
SH-410-A0061  -Multiplex Tatkik 28B,"WO- 2,246","Check heating, zone valves, No heat in the living room.  All the heat is upstairs."," Opened zone valve manually, zone valve was stuck."
SH-410-A0063  -Multiplex Tatkik 28D,"WO- 1,334",No heat in unit.," Zone valve was stuck, shut motor, was getting weak in valve, had to replace also checked boilers and circulator pump plus glycol level, boiler"
SH-410-A0067  -Multiplex Tatkik 29B,"WO- 1,971",No Heat, Completed
SH-410-A0068  -Multiplex Tatkik 29C,"WO- 1,961",No heat, Replaced livingroom area zone valve.
SH-410-A0069  -Multiplex Tatkik 29D,WO- 399,"Overheating of upper floor, test heating zone valves upper floor.", Replaced 24V transformer in crawl space.
SH-410-A0072  -Multiplex Tatkik 8A,"WO- 2,447",No heat in unit.,
SH-410-A0077  -Multiplex Tatkik 9A,"WO- 1,578",No heat in unit., emailed
SH-410-A0084  -Multiplex Tuktu 55-4,"WO- 2,439","No heat in unit, thermostat is turned right up.  Also have a look at trim or weatherstripping as draft is going in.  Take a look at the latch for door, can't close properly.  (Using deadbolt to keep closed.",
SH-410-A0085  -Multiplex Tuktu 55-5,"WO- 1,523","Too hot in unit, please see if you can fix the heating problem.", emailed
SH-410-A0085  -Multiplex Tuktu 55-5,"WO- 2,444",No heat,
274M  -Mechanical Room,"WO- 1,672","Drain drip leg, replace parts if necessary", Removed and drained the drip leg on the fuel tank.  Re-installed the drip leg on the tank
272-M  -272-M-49 Kilgavik,"WO- 1,668","Drain drip leg, replace parts if necessary", Removed and drain the drip leg on the fuel supply tank.  Re-installed the drip leg on the tank
272-M  -272-M-49 Kilgavik,"WO- 2,819",Tenant next to boiler room says there's a loud buzzing sound coming from mechanical room.,Apr.29-I went to the mechanical room to investigate the alarm.  After looking the system over i believe it was the alarm for the tank alert.  A tenant told me that it goes off when the water tank is full.
243  -Multiplex 49 D Kilgavik Road,WO- 475,Too hot in unit., Checked unit to see if rads were hot and there was no heat pushing through.  No issues with heating.
246  -49 Tuktu Street,"WO- 1,751","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel supply tank, drained the drip leg and reinstalled the drip leg back on the fuel supply tank."
273M  -52 Kilgavik Street Mechanical Room,"WO- 1,494",Oil tank M&I Profec t# 6522-410-003,
273M  -52 Kilgavik Street Mechanical Room,"WO- 1,669","Drain drip leg, replace parts if necessary", Removed the drip leg from fuel supply tank and drained the drip leg.  Re-installed the drip leg on the fuel tank
248  -Multiplex 52-B Kilgavik,"WO- 1,414",Heat won't shut off., Replaced faulty zone valve and tested.
248  -Multiplex 52-B Kilgavik,"WO- 1,479",Unit too hot., Replaced faulty thermostat and tested.
248  -Multiplex 52-B Kilgavik,"WO- 1,507",No heat in unit., emailed
248  -Multiplex 52-B Kilgavik,"WO- 1,514",No heat.," Got a call for no heat so went to unit with Dean, he mentioned that the new zone valve was faulty. Also the thermostat burnt out."
248  -Multiplex 52-B Kilgavik,"WO- 1,965",Hardly any heat in unit.," Checked heating, released air locks in attic and checked for heat."
248  -Multiplex 52-B Kilgavik,"WO- 2,274",No heat, Checked and replaced stuck zone valve in attic and tested.
255  -36-D Kilgavik Street,WO- 513,Tenant said can smell Glycol coming from Boiler check for issues and have it worked on.,
255  -36-D Kilgavik Street,WO- 514,Smell of glycol coming from HRV and boiler., Checked with tenant about smell and she said everything was good.
256  -36E Kilgavik Street,"WO- 1,960",No heat in unit., Pressured up both boilers to 15psi and checked for heat later.
256  -36E Kilgavik Street,"WO- 2,565",Hardly any heat.," Boilers were low on pressure, added glycol to boilers."
258  -31-B Kilgavik Street,WO- 412,"Check fuel smell coming from 2nd bedroom,",
258  -31-B Kilgavik Street,"WO- 1,144",Too hot in unit.," Checked out unit, heat would not turn off, had to change zone valve."
258  -31-B Kilgavik Street,"WO- 1,288",Heat won't shut off.,
258  -31-B Kilgavik Street,"WO- 1,377",Heat won't shut off.," Checked zone valve, valve was not working when turn thermostat up and down, got new zone valve and installed."
261  -31-D Kilgavik Street,"WO- 1,430",No heat in unit., Replaced dirty zone valve and got Inukshop to check main breaker.
261  -31-D Kilgavik Street,"WO- 1,439",Atten Colin: check 1 breaker in breaker panel., emailed.
263  -34A Kilgavik Street,WO- 421,"Turn down heat, too hot in unit."," Turned down temperature on boiler for building, set too high."
266M  -34 Kilgavik Street,"WO- 1,665","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel storage tank and drained the leg.  Re-installed the drip leg back on the fuel tank
266M  -34 Kilgavik Street,"WO- 2,494",Replace both circulator pumps.," Replaced two circulator pumps in mechanical room, replaced motor on brner for boiler #1"
264  -34B Kilgavik Street,WO- 603,No heat.," Boiler was low on glycol, added glycol to system, checked unit after and heat was pushing through."
264  -34B Kilgavik Street,"WO- 2,782",No heat and hot water.," 03/01-Checked boilers, tried to pressurize boilers but pressur wouldn't hold, delivered portable heater to each unit fot the night, 03/02 checked under building to possibly find glycol leak and found ice build up unde unit D, closed zone valve for sewage heat and repressured boiler to 15psi and checked for heat,"
265  -34C Kilgavik Street,"WO- 2,787",No heat in unit.," Checked heating, released air lock and checked for heat."
267  -34D Kilgavik Street,"WO- 2,666",No heat, Released air lock from boiler.
268  -34E Kilgavik Street,WO- 729,"Glycol leak, valve leaking, pipe cracked.",
268  -34E Kilgavik Street,"WO- 2,425",Check heating.," Checked heating, repaired by-pass line in attic, tested zone valve and thermostat (not working) manually opened zone valve to get heati going for now."
269  -4 Kugyuk Crescent,"WO- 1,713","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drained the drip leg    Re-installed the drip leg on the fuel tank
269  -4 Kugyuk Crescent,"WO- 2,848",Check oil leak in furnace.," Replaced faulty complete oil filter on furnace, replaced 2 leaky valves (3/8) and installed 2 female firematic valves. Sprinkled tide all around area to absorb oil and neutratize the oil."
252M  -36 Kilgavik Street,"WO- 1,666","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel storage tank.  Re-installed the drip leg back on the fuel tank
295M  -31 Kilgavik Street,WO- 623,No heat., Add glycol to boiler.
295M  -31 Kilgavik Street,WO- 625,Heat back off.,
295M  -31 Kilgavik Street,WO- 627,Both boiler's out.," Boilers out on low water cut off, had to add water to system on Friday evening to get pressure back up and had to bypass lwco on boiler #1, both boilers are connected. one will not run if the other is not connected, returned on site to replace both water logge dexoansion tans, returned Monday to change lwco o boiler #1 and probe, also had to replace relief valve which was dripping, added glycol from make up tank which also doesn't work."
295M  -31 Kilgavik Street,"WO- 1,664","Drain drip leg, replace parts if necessary", Removed and drained the drip leg on the fuel tank.  Re-installed the drip leg back on the tank.  -Installed a new tank gauge as the old one was faulty
"270  -46 Okpik, Brand New Construction Duplex","WO- 1,735","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel tank  Re-installed the drip leg
"270  -46 Okpik, Brand New Construction Duplex","WO- 2,783","Beeping coming from boiler, check for leaking, tenant says her son will show them (worker).",.
296M  -42 Kilgavik Street,"WO- 1,667","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel tank.  Re-installed the drip leg on the fuel tank
275  -30-B Iharuliq Street,"WO- 1,776",Unit too hot.," Checked unit, loosed sticky 4 way valve in mech. room & tested"
297M  -30 Iharuliq Street,"WO- 1,654","Drain drip leg, replace parts if necessary"," Removed drip legs on 2 fuel storage tanks, drained ice from drip legs, Re-installed drip legs on both tanks.  Notice tanks had each a broken fuel gauge, replaced 2 tank gauges"
297M  -30 Iharuliq Street,"WO- 2,672",Tenant from 30B hears loud noise coming from mechanical room.," Checked mechanical room and manually tested both boilers, everything normal and no loud noise."
284  -33 Kalaak Street,"WO- 2,262",No Heat, Checked and replaced faulty fuel pump and restarted boiler and tested.
283  -34 Kalaak Street,WO- 550,"Turn HRV on summer mode, also 3 window latches need fixing.", Cleaned filters on HRV and took off window latch to order.
290  -36E Kalaak Street,"WO- 1,939",No heat.,Shut off circulator pump 1 and restarted #2 and checked for heater later.
286  -36A Kalaak Street,WO- 664,No heat., Check and close by-pass valve in attic and opened main valve from mechanical room.
287  -36B Kalaak Street,WO- 961,No heat in unit.,
287  -36B Kalaak Street,"WO- 1,905",NO Heat," Checked boiler, switched circulator pump #1 off and switched pump #2 on and tested."
287  -36B Kalaak Street,"WO- 2,066","No heat in unit, tenant says probably the whole plex.",
289  -36D Kalaak Street,WO- 286,No heat., Switched circulator pump from 1to 2.
289  -36D Kalaak Street,WO- 314,No heat., Switched circulator pump from #1 to #2 and checked for heat.
289  -36D Kalaak Street,WO- 329,No heat.," Checked mechanical room, circulator pump 1 wasn't working, switched to pump 2 and started cycling through, checked with tenant and said heat was good."
289  -36D Kalaak Street,WO- 471,No heat., Needed to switch the circulator pumps to start flowing.
289  -36D Kalaak Street,WO- 585,No heat.,
289  -36D Kalaak Street,WO- 663,No heat and hot water., Check and switched circulator pumps and tested.
289  -36D Kalaak Street,"WO- 1,788",No heat.," Check & shut off both CIRC pumps in mechanical room to cool off motors, restart pump #1 & check for heat."
289  -36D Kalaak Street,"WO- 1,909",No Heat, Heating was air locked.
289  -36D Kalaak Street,"WO- 1,999",No heat., Switched circulator pumps in mechanical room and checked for heat 1 hour later.
289  -36D Kalaak Street,"WO- 2,062",No heat again.,
289  -36D Kalaak Street,"WO- 2,078",No heat., Turn off circ pump #1 & turn on circ pump #2 and all good
289  -36D Kalaak Street,"WO- 2,105",No Heat, Loosen circulator pump motor and heat came on.
289  -36D Kalaak Street,"WO- 2,912",Not getting any heat in unit., Replaced complete circulator.
289  -36D Kalaak Street,"WO- 2,914",No heat.," Replaced circulator in mechanical room,"
298M  -36 Kalaak Street,WO- 525,No heat and hot water., Switched circulator pumps.
298M  -36 Kalaak Street,"WO- 1,655","Drain drip leg, replace parts if necessary", Removed the drip leg and drain the drip leg from the fuel storage tank Re-installed the drip leg on the fuel tank
298M  -36 Kalaak Street,"WO- 2,166",Check % of glycol.,"Circulator pump get hot and sticky, investigated problem, glycol is 84%, too strong, removed some glycol and reduced mixture to -53F, also glycol strainer."
SH-410-A0116  -34A Iharuliq Street,"WO- 1,582","No heat, they had to turn it right up to make it go on,  Also washer leaked."," Checked zone valve in crawlspace and wasn't opened, opened manually and heat pushed through."
SH-410-A0116  -34A Iharuliq Street,"WO- 1,586",Heat won't shut off.," Replaced zone valve purchase from Jago, did not have any keys to test with thermostat."
SH-410-A00104  -13D Kugyok Cresent,"WO- 2,359",No heat., emailed
SH-410-A00100  -34J Iharuliq,WO- 85,No heat., Loosen sticky motor on zone and tested.
SH-410-A00100  -34J Iharuliq,WO- 177,Replacement of 24V transformer for heating system., Replaced 24volt transformer for zone valves on heating system.
"295  -295-10 Plex, Built 2015","WO- 2,688",No heat in top unit.,Completed
"296  -296-10 Plex, Built 2015",WO- 542,"Check thermostat, heat cannot turn down low.  Hot in unit.",
"296  -296-10 Plex, Built 2015","WO- 2,036",Thermostat not working., Check & replaced dead batteries in thermostat
"296  -296-10 Plex, Built 2015","WO- 2,051",No heat in unit., Purchased triple A batteries from Kitikmeot Supplies and repalced on thermostat.
"298  -298-10 Plex, Built 2015","WO- 2,223",Unit is very hot even though the thermostat is on low.  Also the toilet seat is broken," Replaced batteries on thermostat, replaced toilet seat."
"298  -298-10 Plex, Built 2015","WO- 2,358",No heat.," Went into crawlspace for unit, and both supply and return lines were hot, opened manually to get flowing."
"298  -298-10 Plex, Built 2015","WO- 2,379",Check heating.., sent to Inukshuk
"298  -298-10 Plex, Built 2015","WO- 2,394",No heat.,"Crawlspace heat is running wild, no tstat, had to throttle back that zone to get heat to unit H, on second floor, also checked both tm and found bypass to be opened all the way, had to throttle this back as well, returned on Jan 22 to check on heating to unit H, which was still working, returned to install tstat in crawlspace and tested."
"298  -298-10 Plex, Built 2015","WO- 2,474",No heat., Had to get it flowing again.
"299  -299-10 Plex, Built 2015","WO- 2,159",No heat in unit., Replaced batteries on thermostat.
"300  -300-10 Plex, Built 2015","WO- 3,001",No heat.,Air lock.
SH 410-0090  -59 Tuktu,"WO- 1,581",No heat., emailed
SH 410-0095  -59 TUKTU,"WO- 1,641",No heat in unit.,
SH 410-0095  -59 TUKTU,"WO- 2,019",Not getting any heat and no running hot water.,
SH 410-0095  -59 TUKTU,"WO- 2,023",Boiler issue.,
SH 410-0103  -60 IHUNNGAQ 101,WO- 871,No heat and no hot water.,
"SH-410-A012  -61 IHUNNGAQ, 206",WO- 487,Tenant is saying it's too hot and would like to have it at a medium heat.,
301-A  -63A Nugak,"WO- 2,827",No heat in unit., Checked and closed by-pass valve in attic and checked for heat.
301-E  -,WO- 117,No heat.," Checked boilers, pressurized to 20psi and tested."
301-E  -,"WO- 2,499","No heat in livingroom,"," Went into mechanical room, boilers were low on glycol, added glycol to boiler and checked for heat in unit."
302A  -1A Amaulikkaaq Street,"WO- 1,045",Service furnace and boilers,
302B  -1B Amaulikkaaq Street,"WO- 1,046",Service furnace and boilers,
302D  -1D Amaulikkaaq Street,"WO- 1,833",No heat.," Checked boiler room and both boilers were working good, went to unit and tested thermostat and zone valves, turned thermostat up and heat went on."
302E  -1E Amaulikkaaq Street,"WO- 1,823",No heat.,"Checked boilers, Normal pressure & Temp. went to attic in this unit and found by-pass valve open. Closed valve and heat came on"
303  -3A  Ublogiakhoklok,"WO- 2,942",No heat in unit.,
306-B  -72B Kalaak,WO- 448,Too hot in unit., Checked zone valve in unit and was working good.  Checked crawl space and turned down thermostat.
305-B  -2B Amaulikkaaq Street,"WO- 2,006",Glycol leak in bathroom.," Checked attic above bathroom, found leak but no way to shut off valve without shutting off heat to unit A, pressure on boilers are still at around 5psi so heat was still going through, leak needs to be repaired next working day."
305-B  -2B Amaulikkaaq Street,"WO- 2,014",Glycol leak in attic (see Eddie), Completed
305-E  -2E Amaulikkaaq Street,"WO- 2,004",No heat.," Checked unit, checked boilers, pressurized boilers to 20psi and checked for heat."
SH-410-A015  -69-C Nugak,"WO- 2,218",No heat in bedroom.,
SH-410-A020  -69-H Nugak,"WO- 2,460",No heat in bedroom.,
SH-410-A022  -69-J Nugak,"WO- 1,899",No heat in unit.,
SH-410-A022  -69-J Nugak,"WO- 1,982",Bleed the heating system., emailed
298M  -36M Kalaak-Boiler #2,"WO- 1,933",No heat.," Circulatory Pump Seized. Unable to locate new pump, switched over to secondary pump."
298M  -36M Kalaak-Boiler #2,"WO- 2,035",No heat., Circ pump over heated. Turned off valves & turned power off. Opened up other circ pump valves & turned power on. Heat started circulating
298M  -36M Kalaak-Boiler #2,"WO- 2,116",Change circulator pump, Replaced circulator pump for building heat.
300M  -300M -Boiler #2,"WO- 1,673","Drain drip leg, replace parts if necessary"," Removed the drip leg and drained the same on the fuel tank,  -Replaced a broken fill cap as well as the vent cap.  Re-installed the drip leg back on the fuel supply tank"
302M  -1 Amaulikkaaq Mechanical,WO- 135,No heat.," Boilers stop working due to ice falling from roof and breaking 1/2 steel suppliy pipe to boiler, 1/2'' steel was replaced and boilers restarted."
302M  -1 Amaulikkaaq Mechanical,"WO- 1,651","Drain drip leg, replace parts if necessary",
305M  -2 Amaulikkaaq Mechanical,"WO- 1,652","Drain drip leg, replace parts if necessary",
307M  -71M Kalaak Mechanical,"WO- 1,658","Drain drip leg, replace parts if necessary",
306M  -72 Kalaak Mechanical,"WO- 1,659","Drain drip leg, replace parts if necessary",
301-M  -63 Nugak Mechanical,"WO- 1,674","Drain drip leg, replace parts if necessary",
308-A  -,"WO- 2,025",No heat., emailed
308-A  -,"WO- 3,003","No heat, called in by George (son)"," Checked boilers, reset boiler #2 and checked for heat 1 hour later."
308-C  -,"WO- 2,031","No heat, getting cold in unit.", emailed
309-A  -,"WO- 2,225",No heat,Completed
309-A  -,"WO- 2,668",No heat., Reset button on boiler.
309-B  -,"WO- 2,215",No heat.," Arrived to mechanical room to find both boilers below 5psi on gauges, checked mechanical room for any visable signs of leaks, none seen in mechanical room, added 4 gallons to pressure to 20psi."
309-B  -,"WO- 2,380",NO heat.," Checked boiler room and both boilers were off, checked fuel, had to call Jago and ask them what to do, told me to reset the draft control on chemney stack, reset both controls and boilers went on."
309-B  -,"WO- 2,690",No heat.,"Arrived on site to find both boilers off on reset, oil tanks were empty"
309-D  -,"WO- 2,081",No heat in unit., Manually opened zone valve & heat started circulating. Tested with thermostat
309-D  -,"WO- 2,431",No heat in bedroom.," Thermostat was set too low, tested."
309-D  -,"WO- 2,550",No heat in bedroom., Throttle valve needed to be adjusted.
309-D  -,"WO- 2,619",No heat.," Went to mechanical room, both boilers had high pressure, unit started when we walked in."
309-D  -,"WO- 2,867",No heat and hot water.," Building ran out of fuel, called for fuel truck, bled both nurners and checked for heat."
309-D  -,"WO- 2,928",No heat in living room but there is heat in the bedroom., I went to unit and before I got back into her unit to check if heas was working she had left.
309-D  -,"WO- 3,000",NO heat,Air lock.
308-M  -Mechanical Room,"WO- 2,734","Call out, no heat, check fuel, reset both draft limits", Completed
308-M  -Mechanical Room,"WO- 2,941","No heat, 40A called in, no fuel."," Checked boilers, no more fuel, called Sandi for fuel delivery. (left message on voicemail.)"
308-M  -Mechanical Room,"WO- 2,943","Boilers out, no fuel", Primed both boilers and restarted.
309-M  -Mechanical Room,"WO- 2,652",No heat., Reset block vent fitting on the flue pipe.
100  -Maintenance Office/Workshop,"WO23- 1,357",Repair portable transfer.," Cleaned and repaired portable pump, energized and tested."
"007  -007 - 451, Detached, Built 1967","WO23- 1,731",Annual boiler inspection.," Serviced furnace, changed oil filter, air filter, cleaned furnace, mounted fan motor down, effiency 83%"
"007  -007 - 451, Detached, Built 1967","WO23- 2,451",furnace keeps making a loud noise since the filter was changed," took old blower motor off, put new blower motor on"
"023  -023 - 451, Detached, Built 1967, Rehab 1982","WO23- 1,578",No heat.," Furnace could not go on, replaced nozzle, still not working, removed fuel pump and stem came off, replaced fuel pump and tightened burner and motor, replaced air filter."
"023  -023 - 451, Detached, Built 1967, Rehab 1982","WO23- 1,597",Annual boiler inspection.," Serviced and cleaned boiler, changed oil filter, nozzle."
"025  -025 - 451, Detached, Built 1967, Rehab 1983","WO23- 1,130",No heat,
"025  -025 - 451, Detached, Built 1967, Rehab 1983","WO23- 1,608",Annual boiler inspection.," Serviced and cleaned boiler, changed nozzle and oil filter."
"027  -027 - 451, Detached, Built 1967, Rehab 1983","WO23- 1,594","Pipe on furnace leaking in two places,",
"027  -027 - 451, Detached, Built 1967, Rehab 1983","WO23- 1,606",Annual boiler inspection.," Serviced boiler, changed nozzle, oil filter, effiency 84%"
"029  -029 - 451, Detached, Built 1967, Rehab 1982",WO23- 213,M&I 6522-410-002- Replace furnace,
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO23- 1,123",No heat, Reset blocked vent switch.
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO23- 1,308",Furnace cann't go on.," Checked furnace, reset the control in the flue pipe and tested."
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO23- 1,616",Annual boiler inspection.," Serviced, changed nozzle and oil filter."
"034  -034 - 455, Detached, Built 1968, Rehab 1982",WO23- 355,No heat in unit.," No power to burner. Opened hatch, checked circuit board.Wires were loose, tightened wires and burner weren't on. Tested with thermostat"
"034  -034 - 455, Detached, Built 1968, Rehab 1982","WO23- 2,551",Smell of fuel.,"Checked all the fittings.  Found a loose fitting to hot water maker.  Tightened all fittings, put some nuetroda down to minimize smell of fuel.  Checked all fittings again, no leaks."
"035  -035 - 455, Detached, Built 1968, Rehab 1982","WO23- 1,680",Annual boiler inspection.," Serviced and cleaned, changed nozzle and air filter."
"035  -035 - 455, Detached, Built 1968, Rehab 1982","WO23- 2,786",Strong smell of Diesel when furnice is on, Fuel pump leaking at pressure set screw. Replaced fuel pump and used odorgon on contaminated area where fuel leaked.
"037  -037 - 455, Detached, Built 1968, Rehab 1982","WO23- 1,150",No heat in livingroom.," Topped up glycol and got heat going again, had to fiddle around with parts to get flowing."
"038  -038 - 455, Detached, Built 1968, Rehab 1982","WO23- 2,672",No heat.,"Checked fuel tank, tank full.  Burner was not on reset.   Tested thermostat but furnace not going on.  Pressed reset button but no power.  Replaced primary control and furnace went on."
"039  -039 - 455, Detached, Built 1972, Rehab 1983",WO23- 162,No heat.," I went to the unit and noticed there was power going to the burner so I needed to call Reggie, after he arrived we figured out the fan was seized up, we tried to find a replacement fan but we couldn't, so we called Larry and he came in, we changed the motor and was able to place the old fan, we energized and tested it worked properly."
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO23- 1,699",Annual boiler inspection.," Serviced boiler, changed nozzle, filter. cleaned boiler and pipe. effiency 70 1/4%, glycol -25"
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO23- 1,701","Test first, replace glycol in boiler.", Completed
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO23- 1,990",Fan for boiler not going on., Set wire back in place.
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO23- 2,629","Check heating or thermostat, constantly running and won't sdhut off.","Checked boiler, checked thermostat, checked zone valves, all good.  Glycol was at 5 PSI, topped up 2.5 gal"
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO23- 2,781",Furnace is acting up," Checked zone valve, put merret in wire."
"040  -040 - 455, Detached, Built 1972, Rehab 1983","WO23- 1,698",Annual boiler inspection.," Serviced and cleaned, changed nozzle and filter."
"044  -044 - Weber, Detached, Built 1975, Retro 1993",WO23- 453,Given parts to Peter for oil line together., Done
"044  -044 - Weber, Detached, Built 1975, Retro 1993","WO23- 2,380",No heat.," checked nozzle, took air out of system, started up, all good."
"045  -045 - Weber, Detached, Built 1975, Retro 1991","WO23- 1,491","Check heating, tenant says unit can't get hot, thermostat on high but hardly any heat.", Replaced 1 plugged air filter and checked for heat.
"047  -047 - Weber, Detached, Built 1975, Retro 1990",WO22/23- 40,Check the furnace room for the boiler as it is making a loud noise.," Checked the furnace, installed new air filter and tap open. (vacuumed)"
"047  -047 - Weber, Detached, Built 1975, Retro 1990",WO23- 769,Replace the heating coil in the hrv., emailed
"047  -047 - Weber, Detached, Built 1975, Retro 1990","WO23- 1,941","Furnace not working properly, furnace can go on but blower not working."," Checked furnace, fan motor overheating dur to plugged filter, replaced air filter and waited for motor to cool down and  restarted."
"047  -047 - Weber, Detached, Built 1975, Retro 1990","WO23- 1,947","No heat, blower fan needs replacement", Replaced seized direct drive blower motor.
